post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
200397029.the-last-mile-is-you,2026-06-03T03:30:53.398Z,true,2026-06-03T03:30:53.551Z,2026-06-03T03:30:53.551Z,newsletter,everyone,The Last Mile Is You,What Infrastructure Theory Reveals About Graduate Education’s Most Enduring Failure,
200205874.the-body-in-the-loop,2026-06-02T02:40:29.000Z,true,2026-06-02T02:40:29.818Z,2026-06-02T02:40:29.818Z,newsletter,everyone,The Body in the Loop,On AI Deployment and the Human It Ignores,
199929201.the-performance-of-presence,2026-05-31T02:25:02.061Z,true,2026-05-31T02:25:02.201Z,2026-05-31T02:25:02.201Z,newsletter,everyone,The Performance of Presence,What the World Gets Wrong About Digital Presence,
199687943.the-weapon-that-learns,2026-05-29T03:20:03.192Z,true,2026-05-29T03:20:03.333Z,2026-05-29T03:20:03.333Z,newsletter,everyone,The Weapon That Learns,AI has become the primary force reshaping global cybersecurity and the primary threat. The WEF’s 2026 outlook names the dilemma we have been refusing to name.,
199390485.why-counting-cars-is-harder-than,2026-05-26T22:20:02.314Z,true,2026-05-26T22:20:02.469Z,2026-05-26T22:20:02.469Z,newsletter,everyone,Why Counting Cars Is Harder Than It Sounds: The One-Sensor Trap,What building an IoT system taught me about inferring state from ambiguous signals,
199270479.the-emperors-new-software-a-technical,2026-05-26T02:37:52.208Z,true,2026-05-26T02:37:52.367Z,2026-05-26T02:37:52.367Z,newsletter,everyone,The Emperor’s New Software: A Technical Autopsy of the AI Tool Market,A founder's guide to the three moats that separate real products from rented API wrappers,
199127494.the-startup-founder-who-isnt-allowed,2026-05-25T00:14:23.719Z,true,2026-05-25T00:14:23.874Z,2026-05-25T00:14:23.874Z,newsletter,everyone,The Startup Founder Who Isn't Allowed to Be in Charge,Inside the bureaucratic maze that permits validation but criminalizes operation and the Boston ecosystem that’s learned to work around it.,
198990188.the-violence-of-more-research-needed,2026-05-23T18:31:00.310Z,true,2026-05-23T18:31:00.436Z,2026-05-23T18:31:00.436Z,newsletter,everyone,The Violence of “More Research Needed”: How Industries Buy Paralysis,"When demanding absolute proof becomes a strategy to delay regulation, who pays the price?",
198788534.your-ai-research-is-teaching-you,2026-05-22T02:05:48.700Z,true,2026-05-22T02:05:48.838Z,2026-05-22T02:05:48.838Z,newsletter,everyone,Your AI Research Is Teaching You Not to Think,How prompt engineering frameworks are replacing graduate student reasoning with algorithmic dispatch,
198482748.your-resume-is-already-dead-heres,2026-05-19T22:33:08.733Z,true,2026-05-19T22:33:08.910Z,2026-05-19T22:33:08.910Z,newsletter,everyone,"Your Resume Is Already Dead, Here’s the Seven-Day Portfolio That Replaces It","Using Claude Code, HeyGen, and LinkedIn’s semantic graph to prove your value before recruiters can dismiss you.",
